"","ID","Title","Year","Rating.x","Runtime","Genre","Director","Metacritic","imdbRating","Language","Country","Oscars","Rating.y","Meter","userMeter","userRating","BoxOffice"
"1",4972,"The Birth of a Nation",1915,"Not Rated",165,"Drama, History, Romance","D.W. Griffith",NA,6.9,"","USA",0,8,100,58,3.3,NA
"2",6206,"Les vampires",1915,"Not Rated",399,"Action, Adventure, Crime","Louis Feuillade",NA,6.6,"French","France",0,8.8,100,85,3.8,NA
"3",6864,"Intolerance: Love's Struggle Throughout the Ages",1916,"Not Rated",197,"Drama, History","D.W. Griffith",NA,8,"","USA",0,8,96,78,3.8,NA
"4",9470,"Over the Top",1918,"",0,"Drama, War","Wilfrid North",NA,NA,"","USA",0,4.4,36,51,2.8,NA
"5",9968,"Broken Blossoms or The Yellow Man and the Girl",1919,"Not Rated",90,"Drama, Romance","D.W. Griffith",NA,7.7,"","USA",0,8.2,95,72,3.7,NA
"6",10323,"The Cabinet of Dr. Caligari",1920,"Unrated",67,"Horror","Robert Wiene",NA,8.1,"","Germany",0,9,100,90,4.1,NA
"7",11130,"Dr. Jekyll and Mr. Hyde",1920,"Unrated",49,"Drama, Horror, Sci-Fi","John S. Robertson",NA,7.1,"English","USA",0,7.8,92,67,3.4,NA
"8",11841,"Way Down East",1920,"Not Rated",145,"Drama, Romance","D.W. Griffith",NA,8.1,"","USA",0,8.2,94,69,3.6,NA
"9",12349,"The Kid",1921,"Not Rated",68,"Comedy, Drama, Family","Charles Chaplin",NA,8.4,"English","USA",0,8.5,100,96,4.2,NA
"10",12532,"Orphans of the Storm",1921,"Not Rated",150,"Drama","D.W. Griffith",NA,8.1,"English","USA",0,7.6,90,71,3.8,NA
"11",12920,"Barb Wire",1922,"",0,"Western","Francis J. Grandon",NA,5.6,"English","USA",0,3.8,28,15,1.8,NA
"12",12938,"Beyond the Rocks",1922,"TV-PG",80,"Drama","Sam Wood",NA,7.9,"","USA",0,7.5,100,66,3.6,NA
"13",13086,"Dr. Mabuse: The Gambler",1922,"Not Rated",242,"Crime, Mystery, Thriller","Fritz Lang",NA,7.8,"German","Germany",0,7.5,92,89,4.1,NA
"14",13257,"Häxan: Witchcraft Through the Ages",1922,"Not Rated",91,"Horror","Benjamin Christensen",NA,7.7,"Swedish, Danish","Sweden",0,7.4,88,81,3.9,NA
"15",13427,"Nanook of the North",1922,"Not Rated",79,"Documentary","Robert J. Flaherty",NA,7.8,"","USA, France",0,8.7,100,80,3.8,NA
