termin,pojazd,kto,lotnisko_z,lotnisko_do
11.2007,TU,DT,EPWA,EYVI
11.2007,TU,DT,EYVI,EPWA
12.2007,TU,DT,EPWA,EPGD
12.2007,TU,DT,EPGD,EPWA
12.2007,TU,DT,EPWA,EPGD
12.2007,TU,DT,EPGD,EPKT
12.2007,TU,DT,EPWA,LIRF
12.2007,TU,DT,LIRF,EPGD
12.2007,TU,DT,EPGD,EPWA
12.2007,TU,DT,EPWA,EPGD
12.2007,TU,DT,EPGD,LKMT
12.2007,TU,DT,LKMT,EPWA
12.2007,TU,DT,EPWA,EDDT
12.2007,TU,DT,EDDT,EPWA
12.2007,TU,DT,EPWA,LFPG
12.2007,TU,DT,LFPG,LPPT
12.2007,TU,DT,LPPT,EBBR
12.2007,TU,DT,EBBR,EPGD
12.2007,TU,DT,EPGD,EPWA
12.2007,TU,DT,EPWA,EPWR
01.2008,TU,DT,EPWA,LKPR
01.2008,TU,DT,LKPR,EPWA
01.2008,TU,DT,EPWA,LZIB
01.2008,TU,DT,LZIB,EPWA
01.2008,TU,DT,EPWA,EPSZ
01.2008,TU,DT,EPSZ,EPWA
02.2008,TU,DT,EPWA,UUEE
02.2008,TU,DT,UUEE,EPGD
02.2008,TU,DT,EPGD,EPWA
02.2008,Śmigłowiec W-3,DT,EPGD,EPSE
02.2008,Śmigłowiec W-3,DT,EPSE,EPWA
02.2008,YK,DT,EPWA,EPGD
02.2008,YK,DT,EPGD,EPWA
02.2008,YK,DT,EPGD,EPWA
03.2008,YK,DT,EPWA,EPGD
03.2008,YK,DT,EPGD,EPWA
03.2008,TU,DT,EPWA,EPGD
03.2008,TU,DT,EPWA,LJLJ
03.2008,TU,DT,LJLJ,EPGD
03.2008,TU,DT,EPGD,EPWA
03.2008,TU,DT,EPWA,UKBB
03.2008,TU,DT,UKBB,EPGD
03.2008,TU,DT,EPGD,EPWA
03.2008,YK,DT,EPWA,EPGD
03.2008,YK,DT,EPGD,EPWA
04.2008,YK,DT,EPWA,EPGD
04.2008,TU,DT,EPWA,LLBG
04.2008,TU,DT,LLBG,EPWA
04.2008,YK,DT,EPWA,EPGD
04.2008,YK,DT,EPWA,EPGD
04.2008,YK,DT,EPWA,EPGD
