L.p.,Rodzaj statku powietrznego ,Termin,Trasa przelotu,Kto
 1.,TU,30.11.2007,EPWA-EYVI-EPWA,DT
 2.,TU,01.12.2007,EPWA-EPGD-EPWA,DT
 3.,TU,03.12.2007,EPWA-EPGD-EPKT-EPKT,DT
 4.,TU,07.12.2007,EPWA-Rzym-EPGD-EPWA,DT
 5.,TU,09-10.12.2007,EPWA-EPGD-LKMT-EPAW,DT
 6.,TU,11.12.2007,EPWA-Berlin-EPWA,DT
 7.,TU,12-14.12.2007 ,EPWA-Paryż-LPPT-Bruksela-EPGD-EPWA,DT
 8.,TU,19.12.2007,Irak,DT
 9.,TU,21.12.2007,EPWA-EPWR,DT
10.,TU,10.01.2008,EPWA-LKPR-EPWA,DT
11.,TU,18.01.2008,EPWA-LZIB-EPWA,DT
12.,TU,23-24.01.2008,EPWA-EPSZ-EPWA,DT
13.,TU,08.02.2008,EPWA-Moskwa-EPGD-EPWA,DT
14.,W3,18.02.2008,EPGD-Świdwin-EPWA,DT
15.,YK,22.02.2008,EPWA-EPGD-EPWA,DT
16.,YK,22-24.02.2008,EPGD-EPWA,DT
17.,YK,01.03.2008,EPWA-EPGD,DT
18.,YK,09.03.2008,EPGD-EPWA,DT
19.,TU,14.03.2008,EPWA-EPGD,DT
20.,TU,20.03.2008,EPWA-LJLJ-EPGD-EPWA,DT
21.,TU,27-28.03.2008,EPWA-Kijów-EPGD-EPWA,DT
22.,YK,28-31.03.2008,EPWA-EPGD-EPWA,DT
23.,YK,04.04.2008,EPWA-EPGD,DT
24.,TU,08-10.04.2008,EPWA- LLBG-EPWA,DT
25.,YK,18.04.2008,EPWA-EPGD,DT
26.,YK,25.04.2008,EPWA-EPGD,DT
27.,YK,30.04.2008,EPWA-EPGD,DT
28.,YK,02.05.2008,EPWA-EPGD,DT
29.,YK,09.05.2008,EPWA-EPGD,DT
30.,YK,12.05.2008,EPGD-EPWA,DT
31.,TU,13-20.05.2008,EPWA-Lima-Santiago de Chile-EPWA,DT
32.,YK,21-23.05.2008,EPGD-EPWA-EPGD,DT
33.,TU,24.05.2008,EPWA-LSGG-EPWA,DT
34.,YK,04.06.2008,EPWA-EVRA-EPWA,DT
35.,YK,13.06.2008,EPWA-EPGD,DT
36.,TU,15-16.06.2008,EPWA-LKPR-EPGD-EPWA,DT
37.,YK,19-20.06.2008,EPWA-Bruksela-EPGD-EPWA,DT
38.,YK,27.06.2008,EPWA-EPGD,DT
39.,YK,04.07.2008,EPWA-EPGD,DT
40.,YK,11.07.2008,EPWA-EPGD-EPWA,DT
41.,YK,18.07.2008,EPWA-EPGD,DT
42.,YK,21.07.2008,EPGD-EPWA,DT
43.,YK/Bell,26.07.2008,EPWA-EPKK-Nowy Targ-EPKK-EPWA,DT
44.,Bell,30.07.2008,EPWA-Łódź-EPWA,DT
45.,YK,03.08.2008,EPGD-EPKK-EPGD,DT
46.,Bell,08.08.2008,EPWA-LKMT,DT
47.,YK,08.08.2008,EPWA-EPGD,DT
48.,YK,14.08.2008,EPWA-EPGD,DT
49.,YK,16.08.2008,EPWA-EPGD-EPKT-EPGD-EPWA,DT
50.,TU,22-23.08.2008,Irak,DT
51. YK/Bell,YK/Bell,29.08.2008,EPWA-EPGD-EPSK-EPGD,DT
52.,TU,01.09.2008,EPWA-EPGD-Bruksela-EPWA,DT
53.,YK,03.09.2008,EPWA-EPKK-EPWA,DT
54.,YK,05.09.2008,EPWA-EDDG-EPGD-EPWA,DT
55.,Bell,08.09.2008,EPGD-Gołdap-EPWA,DT
56.,Bell,10.09.2008,EPWA-Krynica (Krzyżówka)-EPWA,DT
57.,TU,17.09.2008,EPWA-Sztokcholm-EPWA,DT
58.,Bell,18.09.2008,EPWA-Strzelce Op.-EPWA,DT
59.,TU,19.09.2008,EPWA-EPGD- Kijów-EPWA-EPWR,DT
60.,YK,03.10.2008,EPWA-EPGD,DT
61.,TU,08.10.2008,EPWA-Sewilla-EPWA,DT
62.,YK,09.10.2008,Paryż Berlin Waw,DT
63.,TU,14-16.10..2008,WAW-Bruksela-WAW,DT
64.,YK,17.10.2008,EPWA-EPGD,DT
65.,TU,20-26.10.2008,WAW-Szanghaj-Pekin-EPGD-EPWA,DT
66.,YK,31.10.2008,EPWA-EPGD,DT
67.,TU,07.11.2008,EPWA-Bruksela-EPWA,DT
68.,YK,07.11.2008,EPWA-EPGD,DT
69.,YK,10.11.2008,EPGD-EPWA,DT
70.,TU,12.11.2008,EPWA-Frankfurt-EPWA,DT
71.,YK,15.11.2008,EPWA-EPGD,DT
72.,TU,17-19.11.2008,EPWA-EPGD-Kuwejt-Doha-EPWA,DT
73.,YK,20-22.11.2008,EPWA-EPGD,DT
74.,TU,24.11.2008,EPWA-Londyn-EPWA,DT
75.,YK,25.11.2008,EPGD-EPWA,DT
76.,YK,28.11.2008,EPWA-EPPO-EPGD,DT
77.,YK,30.11.2008,EPGD-EPWA-EPGD,DT
78.,YK,01.12.2008,EPWA-EPGD-EPPO-EPWA,DT
79.,YK,03.12.2008,EPWA-EPKK,DT
80.,YK,04.12.2008,EPKT-EPWA,DT
81.,TU,11-12.12.2008,EPWA-Bruksela-EPWA,DT
82.,YK,12.12.2008,EPWA-EPGD,DT
83.,YK,17.12.2008,EPWA-EPKT-EPWA,DT
84.,YK,19.12.2008,EPWA-EPGD,DT
85.,Bell,20.12.2008,EPGD-Radzikowo-EPGD,DT
86.,YK,23.12.2008,EPWA-EPGD,DT
87.,YK,27.12.2008,EPGD-EPPO-EPGD,DT
88.,YK,30.12.2008,EPWA-EPGD,DT
89.,YK,08-09.01.2009,EPWA-Werona-Bratysława-Werona-EPWA,DT
90.,YK,16.01.2009,EPWA-EPGD,DT
91.,YK,23.01.2009,EPWA-EPGD,DT
92.,TU,28-29.01.2009,EPWA-Zurich-EPWA,DT
93.,YK,31.01.2009,EPWA-EPGD,DT
94.,YK,01.02.2009,EPWA-EPGD,DT
95.,TU,07.02.2009,EPWA-Monachium-EPGD-EPWA,DT
96.,YK,09-10.02.2009,EPWA-EPGD-EPWA,DT
97.,YK,12.02.2009,EPWA-EPGD-EPWA,DT
98.,YK,15.02.2009,EPGD-EPWA,DT
99.,TU,19.02.2009,EPWA-EPKK-EPWA,DT
100.,YK,20.02.2009,EPWa-EPGD,DT
101.,YK,27-28.02.2009,EPWA-EPGD-Hamburg-EPGD-EPWA,DT
102.,TU,28.02-01.03.2009,EPWA-EPGD-Bruksela-EPGD-EPWA,DT
103.,YK,06.03.2009,EPWA-EPGD,DT
104.,YK,13.03.2009,EPWA-EPGD,DT
105.,TU,19-20.03.2009,Waw Bruksela Waw,DT
106.,YK,21.03.2009,EPWA-Radom-EPGD,DT
107.,Bell,30.03.2009,EPGD-Olecko-EPWA,DT
108.,YK,03-04.04.2009,EPWA-EPGD-EPWA-EPWR,DT
109.,YK,05.04.2009,EPWA-EPWR-Praga-EPGD-EPWA,DT
110.,YK,06.04.2009,EPGD-EPWA,DT
111.,YK,09.04.2009,EPGD-EPWA,DT
112.,YK,09.04.2009,EPWA-EPGD,DT
113.,YK,14.04.2009,EPGD-EPWA,DT
114.,YK,15.04.2009,EPWA-EPKT,DT
115.,YK,15.04.2009,EPKT-EPWA,DT
116.,YK,16-17.04.2009,EPWA-Tallin-Helsinki-EPGD-EPWA,DT
117.,YK,24.04.2009,EPWA-EPGD,DT
118.,YK,26.04.2009,EPGD-EWWA,DT
119.,YK,30.04.2009,EPWA-EPGD,DT
120.,YK,03.05.2009,EPGD-EPWA,DT
121.,TU,07.05.2009,EPWA-Praga-EPWA,DT
122.,YK,09.05.2009,EPWA-EPPO-EPGD,DT
123.,YK,19.05.2009,EPGD-EPWA,DT
124.,YK,22.05.2009,EPWA-EPGD,DT
125.,W3,31.05.2009,EPWA-Kazimierz Biskupi,DT
126.,W3,01.06.2009,EPWA-Poniatowa-EPWA,DT
127.,W3,02.06.2009,EPWA-Turbia-EPWA,DT
128.,YK,03.06.2009,EPWA-EPKK,DT
129.,YK,04.06.2009,EPKK-EPWA,DT
130.,TU,04.06.2009,EPWA-EPKK-EPGD,DT
131.,YK,05.06.2009,EPWA-EPKT-EPGD,DT
132.,YK,05.06.2009,EPGD-EPWA,DT
133.,YK,07.06.2009,EPGD-EPWA,DT
